st_fip	female	hrs_allev	evol_course	phase1	senior_c	ph_senior	notest_p	ph_notest_p	idsci_trans	biocred3	certified	degr3	confident
5	1	9.5	0.0	0.2778899488776864	0.0	0.0	0.0	0.0	0.24098648	2.0	1.0	1.0	0.0
5	1	8.0	0.0	0.2778899488776864	0.0	0.0	0.0	0.0	0.66109776	2.0	1.0	0.0	0.0
5	1	9.5	1.0	0.2778899488776864	0.0	0.0	0.0	0.0	0.96394604	0.0	1.0	1.0	1.0
5	9	9.5	0.0	0.2778899488776864	-1.0	-0.27788994	0.0	0.0	0.103796996	1.0	1.0	1.0	0.0
5	1	8.0	0.0	0.2778899488776864	1.0	0.27788994	0.0	0.0	0.32285783	1.0	1.0	1.0	1.0
5	0	8.0	1.0	0.2778899488776864	1.0	0.27788994	0.0	0.0	0.68522286	2.0	0.0	1.0	0.0
5	1	5.5	0.0	0.2778899488776864	-1.0	-0.27788994	0.0	0.0	0.96394604	1.0	1.0	0.0	0.0
5	0	17.0	1.0	0.2778899488776864	1.0	0.27788994	0.0	0.0	0.68522286	2.0	1.0	2.0	1.0
5	0	5.5	1.0	0.2778899488776864	0.0	0.0	0.0	0.0	0.54221964	2.0	0.0	1.0	2.0
5	1	4.0	0.0	0.2778899488776864	-1.0	-0.27788994	0.0	0.0	0.54221964	1.0	1.0	1.0	0.0
5	1	8.0	0.0	0.2778899488776864	0.0	0.0	0.0	0.0	0.96394604	1.0	1.0	0.0	1.0
4	1	35.0	1.0	0.7957212667680431	1.0	0.7957213	0.0	0.0	0.45394748	2.0	0.0	2.0	2.0
4	1	3.0	0.0	0.7957212667680431	0.0	0.0	1.0	0.7957213	0.32285783	0.0	0.0	1.0	0.0
4	0	1.5	0.0	0.7957212667680431	1.0	0.7957213	0.0	0.0	0.54221964	0.0	1.0	0.0	0.0
4	1	12.0	0.0	0.7957212667680431	0.0	0.0	0.0	0.0	0.96394604	0.0	0.0	1.0	0.0
4	0	8.0	0.0	0.7957212667680431	0.0	0.0	0.0	0.0	0.24098648	2.0	1.0	0.0	1.0
4	0	16.0	1.0	0.7957212667680431	-1.0	-0.7957213	1.0	0.7957213	0.81813014	1.0	0.0	0.0	0.0
4	1	26.0	0.0	0.7957212667680431	0.0	0.0	1.0	0.7957213	0.68618095	2.0	0.0	1.0	0.0
4	1	16.0	1.0	0.7957212667680431	-2.0	-1.5914426	0.0	0.0	0.060246587	0.0	1.0	0.0	0.0
4	1	22.0	1.0	0.7957212667680431	0.0	0.0	1.0	0.7957213	0.4343516	1.0	0.0	0.0	1.0
4	1	9.5	1.0	0.7957212667680431	-1.0	-0.7957213	0.0	0.0	0.33910823	1.0	1.0	1.0	0.0
4	1	12.0	0.0	0.7957212667680431	0.0	0.0	0.0	0.0	0.1839405	1.0	1.0	2.0	1.0
4	0	12.0	0.0	0.7957212667680431	1.0	0.7957213	1.0	0.7957213	0.33910823	1.0	1.0	1.0	1.0
4	0	26.0	0.0	0.7957212667680431	0.0	0.0	0.0	0.0	0.79277885	2.0	1.0	2.0	2.0
6	0	14.5	1.0	0.9635766202801819	0.0	0.0	0.0	0.0	0.96394604	2.0	1.0	0.0	1.0
6	0	36.0	1.0	0.9635766202801819	-1.0	-0.9635766	0.0	0.0	0.54221964	2.0	0.0	1.0	1.0
6	1	22.0	1.0	0.9635766202801819	0.0	0.0	0.0	0.0	0.68618095	1.0	1.0	0.0	2.0
6	1	3.0	0.0	0.9635766202801819	0.0	0.0	0.0	0.0	0.060246587	1.0	1.0	2.0	-1.0
6	0	21.0	1.0	0.9635766202801819	-1.0	-0.9635766	0.0	0.0	0.54221964	2.0	1.0	0.0	1.0
